Account_number,Ledger,Company_name,Date,Metric,Cost
10100,  MJ Operating 6506,ArgoTrak Inc,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Passio Tech LLC,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Tripshot,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,busHive,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Bytecurve,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Bytecurve (All),06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Elimination Entity,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,All Locations,06/30/2025,Actual,448035.26
10102,  MJ VM Ridechoice 8769,TT Intermediate Corp,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Transit Technologies LLC,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Ecolane Finland,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Ecolane USA,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,The Vestige Group LLC,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,MJM Innovations LLC,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,MJM Innovations LLC - NEW,06/30/2025,Actual,768612.42
10102,  MJ VM Ridechoice 8769,DispatchBot LLC,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,TT Faster LLC,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,ArgoTrak Inc,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Passio Tech LLC,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Tripshot,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,busHive,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Bytecurve,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Bytecurve (All),06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,Elimination Entity,06/30/2025,Actual,0.0
10102,  MJ VM Ridechoice 8769,All Locations,06/30/2025,Actual,768612.42
10103,  MJ Taxicard 3206,TT Intermediate Corp,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Transit Technologies LLC,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Ecolane Finland,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Ecolane USA,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,The Vestige Group LLC,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,MJM Innovations LLC,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,MJM Innovations LLC - NEW,06/30/2025,Actual,665442.54
10103,  MJ Taxicard 3206,DispatchBot LLC,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,TT Faster LLC,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,ArgoTrak Inc,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Passio Tech LLC,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Tripshot,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,busHive,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Bytecurve,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Bytecurve (All),06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,Elimination Entity,06/30/2025,Actual,0.0
10103,  MJ Taxicard 3206,All Locations,06/30/2025,Actual,665442.54
10104,  MJ MTA Customer 3215,TT Intermediate Corp,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Transit Technologies LLC,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Ecolane Finland,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Ecolane USA,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,The Vestige Group LLC,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,MJM Innovations LLC,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,MJM Innovations LLC - NEW,06/30/2025,Actual,1216286.79
10104,  MJ MTA Customer 3215,DispatchBot LLC,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,TT Faster LLC,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,ArgoTrak Inc,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Passio Tech LLC,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Tripshot,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,busHive,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Bytecurve,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Bytecurve (All),06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,Elimination Entity,06/30/2025,Actual,0.0
10104,  MJ MTA Customer 3215,All Locations,06/30/2025,Actual,1216286.79
10105,  MJ Operating 6522,TT Intermediate Corp,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Transit Technologies LLC,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Ecolane Finland,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Ecolane USA,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,The Vestige Group LLC,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10105,  MJ Operating 6522,MJM Innovations LLC,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,MJM Innovations LLC - NEW,06/30/2025,Actual,485016.82
10105,  MJ Operating 6522,DispatchBot LLC,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,TT Faster LLC,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,ArgoTrak Inc,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Passio Tech LLC,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Tripshot,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,busHive,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Bytecurve,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Bytecurve (All),06/30/2025,Actual,0.0
10105,  MJ Operating 6522,Elimination Entity,06/30/2025,Actual,0.0
10105,  MJ Operating 6522,All Locations,06/30/2025,Actual,485016.82
10107,  MJ PNC 1054,TT Intermediate Corp,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,Transit Technologies LLC,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10107,  MJ PNC 1054,Ecolane Finland,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,Ecolane USA,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,The Vestige Group LLC,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10107,  MJ PNC 1054,MJM Innovations LLC,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,MJM Innovations LLC - NEW,06/30/2025,Actual,4442.21
10107,  MJ PNC 1054,DispatchBot LLC,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,TT Faster LLC,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,ArgoTrak Inc,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,Passio Tech LLC,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,Tripshot,06/30/2025,Actual,0.0
10107,  MJ PNC 1054,busHive,06/30/2025,Actual,0.0
